dep_time,flight,origin,dest,air_time,distance,carrier,date,arr_delay,time_hour
909,5475,LGA,CLT,85,544,EV,2013-10-28,on_time,2013-10-28T12:00:00Z
909,309,LGA,ORD,125,733,AA,2013-02-12,late,2013-02-12T12:00:00Z
553,2161,LGA,DCA,49,214,US,2013-02-01,on_time,2013-02-01T11:00:00Z
1634,1178,EWR,IAH,188,1400,UA,2013-09-12,on_time,2013-09-12T20:00:00Z
1756,2183,LGA,DCA,51,214,US,2013-01-22,late,2013-01-22T22:00:00Z
1017,1,JFK,LAX,304,2475,AA,2013-06-20,late,2013-06-20T13:00:00Z
748,59,JFK,SFO,362,2586,AA,2013-04-23,on_time,2013-04-23T12:00:00Z
1038,1735,EWR,LAX,344,2454,UA,2013-02-19,on_time,2013-02-19T15:00:00Z
2115,4350,EWR,DCA,44,199,EV,2013-03-27,on_time,2013-03-28T01:00:00Z
1538,2027,JFK,FLL,159,1069,DL,2013-01-15,on_time,2013-01-15T20:00:00Z
655,1879,LGA,FLL,140,1076,DL,2013-07-15,on_time,2013-07-15T11:00:00Z
1722,4323,EWR,CVG,111,569,EV,2013-02-05,on_time,2013-02-05T22:00:00Z
854,2120,LGA,BOS,37,184,US,2013-04-19,on_time,2013-04-19T13:00:00Z
1726,359,JFK,BUR,362,2465,B6,2013-11-23,on_time,2013-11-23T22:00:00Z
1747,2181,LGA,MCO,124,950,DL,2013-07-16,late,2013-07-16T19:00:00Z
1931,124,EWR,FLL,155,1065,UA,2013-03-17,late,2013-03-17T22:00:00Z
1811,3542,JFK,MSP,158,1029,9E,2013-04-25,on_time,2013-04-25T22:00:00Z
2244,2002,JFK,BUF,63,301,B6,2013-11-22,on_time,2013-11-23T03:00:00Z
2246,2002,JFK,BUF,59,301,B6,2013-10-04,on_time,2013-10-05T02:00:00Z
840,1643,EWR,DEN,215,1605,UA,2013-10-07,on_time,2013-10-07T12:00:00Z
619,4270,EWR,MSP,166,1008,9E,2013-12-12,on_time,2013-12-12T11:00:00Z
959,276,EWR,BOS,35,200,UA,2013-10-15,on_time,2013-10-15T14:00:00Z
1547,1638,EWR,CLE,61,404,UA,2013-12-05,on_time,2013-12-05T20:00:00Z
644,4150,EWR,CVG,114,569,EV,2013-12-11,late,2013-12-11T11:00:00Z
749,4418,JFK,DCA,53,213,MQ,2013-06-09,on_time,2013-06-09T11:00:00Z
648,318,JFK,BOS,46,187,B6,2013-08-30,on_time,2013-08-30T10:00:00Z
121,1503,JFK,SJU,209,1598,B6,2013-07-20,late,2013-07-21T03:00:00Z
1555,847,LGA,ATL,123,762,DL,2013-02-15,on_time,2013-02-15T21:00:00Z
1824,1368,LGA,BNA,109,764,WN,2013-09-22,on_time,2013-09-22T22:00:00Z
741,4237,EWR,CHS,86,628,EV,2013-05-22,on_time,2013-05-22T11:00:00Z
2128,3448,JFK,CVG,94,589,9E,2013-07-22,late,2013-07-22T21:00:00Z
1901,1029,JFK,SJU,183,1598,AA,2013-12-20,on_time,2013-12-21T00:00:00Z
901,120,JFK,LAX,307,2475,DL,2013-07-05,on_time,2013-07-05T13:00:00Z
2122,5681,EWR,RDU,78,416,EV,2013-04-01,late,2013-04-02T00:00:00Z
1828,2915,JFK,DFW,210,1391,9E,2013-11-05,on_time,2013-11-05T23:00:00Z
