volume,hightemp,avgtemp,season,cloudcover,precip,day_type
501,83,66.5,Summer,7.59999990463257,0,Weekday
419,73,61,Summer,6.30000019073486,0.28999999165535,Weekday
397,74,63,Spring,7.5,0.319999992847443,Weekday
385,95,78,Summer,2.59999990463257,0,Weekend
200,44,48,Spring,10,0.140000000596046,Weekday
375,69,61.5,Spring,6.59999990463257,0.0199999995529652,Weekday
417,66,52.5,Spring,2.40000009536743,0,Weekday
629,66,52,Spring,0,0,Weekend
533,80,67.5,Summer,3.79999995231628,0,Weekend
547,79,62,Summer,4.09999990463257,0,Weekday
432,78,66.5,Summer,8.5,0,Weekday
418,65,56.5,Spring,7.19999980926514,0,Weekday
193,41,45,Spring,10,0.0299999993294477,Weekday
331,59,47,Fall,7.69999980926514,0,Weekday
280,50,42.5,Fall,5.80000019073486,0,Weekday
304,54,43,Spring,3.59999990463257,0,Weekday
352,97,84,Summer,6.09999990463257,0.680000007152557,Weekend
156,75,59,Spring,6.30000019073486,0,Weekday
365,63,49,Spring,8.60000038146973,0,Weekday
181,42,39.5,Fall,10,0.150000005960464,Weekday
514,70,59.5,Spring,7.90000009536743,0,Weekend
259,57,52.5,Spring,6.80000019073486,0,Weekday
452,71,55,Spring,5.19999980926514,0,Weekday
189,46,38,Fall,9.69999980926514,0.200000002980232,Weekday
362,61,48,Spring,4.40000009536743,0,Weekday
256,81,73,Summer,10,1.44000005722046,Weekday
155,64,61,Summer,10,1.14999997615814,Weekday
174,57,46.5,Spring,6.5,0.00999999977648258,Weekday
259,62,49,Spring,0,0,Weekday
535,83,68.5,Summer,1.20000004768372,0,Weekend
650,76,60,Spring,1.79999995231628,0,Weekend
409,74,62,Spring,8,0.119999997317791,Weekday
311,59,49.5,Spring,9.39999961853027,0.340000003576279,Weekday
736,77,64.5,Spring,5,0,Weekend
186,52,47.5,Spring,5.80000019073486,0.00999999977648258,Weekday
371,67,55,Spring,6.69999980926514,0,Weekday
291,51,35,Fall,0,0,Weekend
287,41,33,Fall,0,0,Weekday
411,90,77.5,Summer,8.39999961853027,0,Weekday
461,70,50,Spring,0,0,Weekend
540,81,60,Spring,0,0,Weekday
376,72,62.5,Summer,7.90000009536743,0,Weekday
554,70,66.5,Summer,9.89999961853027,0,Weekday
339,69,55,Fall,6.40000009536743,0,Weekday
344,59,46.5,Spring,2.40000009536743,0,Weekday
348,60,46,Fall,1.20000004768372,0,Weekend
517,72,59.5,Spring,4.09999990463257,0,Weekday
328,70,58.5,Spring,9.89999961853027,0,Weekday
298,76,74,Summer,9.69999980926514,0.349999994039536,Weekday
335,56,47,Spring,0,0,Weekday
186,66,52,Spring,3.90000009536743,0,Weekday
505,84,76.5,Summer,8.89999961853027,0.00999999977648258,Weekday
156,58,54.5,Spring,10,0.150000005960464,Weekday
362,56,48.5,Spring,7,0,Weekday
507,79,63,Spring,7,0.00999999977648258,Weekend
407,67,53,Spring,6.80000019073486,0.0199999995529652,Weekend
421,75,61,Spring,6.80000019073486,0,Weekday
393,65,47.5,Spring,4.30000019073486,0,Weekday
422,70,55.5,Spring,5.09999990463257,0,Weekday
349,64,52.5,Spring,3.40000009536743,0,Weekday
150,51,45,Spring,10,0.159999996423721,Weekday
429,77,60,Spring,0.400000005960464,0,Weekday
293,60,47,Spring,10,0,Weekday
461,74,64.5,Summer,4.59999990463257,0,Weekday
388,84,77,Summer,9.89999961853027,1.49000000953674,Weekday
322,61,51.5,Spring,6.40000009536743,0.00999999977648258,Weekday
129,49,46,Spring,9.69999980926514,0.119999997317791,Weekend
415,71,56.5,Fall,4,0,Weekend
460,70,66,Spring,3,0,Weekday
405,83,71.5,Summer,8.19999980926514,0.140000000596046,Weekday
453,90,78,Summer,6.59999990463257,0,Weekday
395,92,79,Summer,7.90000009536743,0,Weekday
531,88,71,Summer,6.19999980926514,0,Weekday
236,62,50.5,Spring,0.800000011920929,0,Weekday
484,86,68,Spring,6.19999980926514,0,Weekday
445,67,55,Spring,0.400000005960464,0,Weekday
252,59,47,Fall,1.70000004768372,0,Weekday
286,89,79,Summer,9,0.360000014305115,Weekend
400,63,54.5,Spring,6.90000009536743,0.170000001788139,Weekend
261,59,52.5,Fall,10,0,Weekend
339,74,64.5,Spring,7.80000019073486,0,Weekend
617,80,56.5,Spring,0.699999988079071,0,Weekend
316,55,50,Spring,9.60000038146973,0.200000002980232,Weekend
367,62,45,Fall,5.69999980926514,0.0199999995529652,Weekend
635,74,53.5,Spring,2.5,0,Weekend
449,95,80.5,Summer,4.09999990463257,0,Weekend
314,65,42.5,Spring,9.39999961853027,0.219999998807907,Weekend
264,55,49,Spring,9,0,Weekend
356,89,73,Summer,1.89999997615814,0,Weekend
564,80,66.5,Summer,3.79999995231628,0,Weekend
