lineup,weapon,feature,id
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,correct
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,foil
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,no,reject
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,correct
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
