country,countryCode,gdp,urban
Afghanistan,AFG,516.7478708,26.026
Albania,ALB,5246.292306,62.112
Algeria,DZA,3306.858208,73.733
American Samoa,ASM,12844.90099,87.153
Angola,AGO,1776.166868,66.825
Antigua and Barbuda,ATG,13992.74448,24.433
Argentina,ARG,8579.017773,92.111
Armenia,ARM,4266.018074,63.313
Australia,AUS,51692.84275,86.241
Austria,AUT,48586.80132,58.748
Azerbaijan,AZE,4221.407478,56.397
"Bahamas, The",BHS,25194.02514,83.245
Bahrain,BHR,20409.9528,89.506
Bangladesh,BGD,1961.613749,38.177
Barbados,BRB,15373.8547,31.191
Belarus,BLR,6424.152176,79.483
Belgium,BEL,45159.34822,98.079
Belize,BLZ,4115.177008,46.025
Benin,BEN,1291.040972,48.415
Bermuda,BMU,107079.4798,100
Bhutan,BTN,3000.779327,42.316
Bolivia,BOL,3133.099803,70.123
Bosnia and Herzegovina,BIH,6079.738285,49.02
Botswana,BWA,6404.899932,70.877
Brazil,BRA,6796.844542,87.073
Brunei Darussalam,BRN,27442.95383,78.25
Bulgaria,BGR,10079.20338,75.686
Burkina Faso,BFA,857.9327297,30.607
Burundi,BDI,238.9907259,13.708
Cabo Verde,CPV,3064.272388,66.652
Cambodia,KHM,1543.669258,24.232
Cameroon,CMR,1537.130218,57.56
Canada,CAN,43258.17632,81.562
Cayman Islands,CYM,85082.52686,100
Central African Republic,CAF,492.7958712,42.198
Chad,TCD,659.270045,23.52
Chile,CHL,13231.70421,87.727
China,CHN,10434.77519,61.428
Colombia,COL,5334.556042,81.425
Comoros,COM,1420.661747,29.38
"Congo, Dem. Rep.",COD,543.9503925,45.638
"Congo, Rep.",COG,1846.131297,67.829
Costa Rica,CRI,12140.85415,80.771
Cote d'Ivoire,CIV,2325.723705,51.706
Croatia,HRV,14134.16268,57.553
Cuba,CUB,9477.852873,77.194
Curacao,CUW,16745.72431,89.062
Cyprus,CYP,26623.80089,66.821
Czech Republic,CZE,22932.22497,74.061
Denmark,DNK,61063.31643,88.116
Djibouti,DJI,3425.484176,78.062
Dominica,DMA,7003.859021,71.09
Dominican Republic,DOM,7268.19691,82.54
Ecuador,ECU,5600.389615,64.166
"Egypt, Arab Rep.",EGY,3569.206841,42.783
El Salvador,SLV,3798.636521,73.444
Equatorial Guinea,GNQ,7143.238705,73.1
Estonia,EST,23027.027,69.229
Eswatini,SWZ,3424.282212,24.171
Ethiopia,ETH,936.3404611,21.695
Fiji,FJI,5057.631913,57.247
Finland,FIN,48773.28117,85.517
France,FRA,39030.36037,80.975
Gabon,GAB,6881.715192,90.092
"Gambia, The",GMB,773.0020701,62.582
Georgia,GEO,4266.690795,59.453
Germany,DEU,46208.42947,77.453
Ghana,GHA,2205.529016,57.349
Greece,GRC,17622.541,79.715
Grenada,GRD,9261.551876,36.537
Guam,GUM,34624.34013,94.938
Guatemala,GTM,4603.339617,51.836
Guinea,GIN,1194.037865,36.875
Guinea-Bissau,GNB,727.5201717,44.196
Guyana,GUY,6955.939217,26.786
Haiti,HTI,1272.367992,57.088
Honduras,HND,2389.012431,58.359
"Hong Kong SAR, China",HKG,46323.86344,100
Hungary,HUN,15980.74089,71.942
Iceland,ISL,59270.18005,93.898
India,IND,1927.707823,34.926
Indonesia,IDN,3869.588427,56.641
"Iran, Islamic Rep.",IRN,2422.480657,75.874
Iraq,IRQ,4145.862936,70.893
Ireland,IRL,85267.76474,63.653
Israel,ISR,44168.94364,92.587
Italy,ITA,31714.22095,71.039
Jamaica,JAM,4664.530242,56.311
Japan,JPN,40193.25244,91.782
Jordan,JOR,4282.765825,91.418
Kazakhstan,KAZ,9122.23343,57.671
Kenya,KEN,1878.580703,27.995
Kiribati,KIR,1653.540297,55.594
"Korea, Rep.",KOR,31631.46945,81.414
Kuwait,KWT,24811.76971,100
Kyrgyz Republic,KGZ,1173.611304,36.856
Lao PDR,LAO,2629.714583,36.29
Latvia,LVA,17726.25294,68.315
Lebanon,LBN,4649.547646,88.925
Lesotho,LSO,875.353433,29.028
Liberia,LBR,632.9363856,52.089
Libya,LBY,3699.294765,80.691
Lithuania,LTU,20233.64135,68.046
Luxembourg,LUX,116014.6025,91.453
"Macao SAR, China",MAC,39403.13591,100
Madagascar,MDG,471.4914963,38.534
Malawi,MWI,636.8205368,17.427
Malaysia,MYS,10412.34898,77.16
Maldives,MDV,6924.105745,40.669
Mali,MLI,862.4530188,43.909
Malta,MLT,27884.64283,94.744
Marshall Islands,MHL,4129.850998,77.794
Mauritania,MRT,1701.991163,55.327
Mauritius,MUS,8627.843157,40.76
Mexico,MEX,8329.271313,80.731
"Micronesia, Fed. Sts.",FSM,3565.293294,22.933
Moldova,MDA,4547.059721,42.849
Mongolia,MNG,4060.950518,68.657
Montenegro,MNE,7677.152226,67.488
Morocco,MAR,3009.24946,63.532
Mozambique,MOZ,448.5442807,37.074
Myanmar,MMR,1467.604281,31.141
Namibia,NAM,4179.278066,52.033
Nauru,NRU,10580.26819,100
Nepal,NPL,1155.142854,20.576
Netherlands,NLD,52397.11671,92.236
New Zealand,NZL,41441.46667,86.699
Nicaragua,NIC,1905.261152,59.012
Niger,NER,567.6698923,16.626
Nigeria,NGA,2097.092473,51.958
North Macedonia,MKD,5917.262575,58.482
Norway,NOR,67389.91205,82.974
Oman,OMN,12659.71772,86.276
Pakistan,PAK,1188.859757,37.165
Palau,PLW,14243.86469,80.988
Panama,PAN,12509.83529,68.414
Papua New Guinea,PNG,2757.21753,13.345
Paraguay,PRY,5001.07276,62.183
Peru,PER,6126.87454,78.297
Philippines,PHL,3298.829586,47.408
Poland,POL,15720.99466,60.043
Portugal,PRT,22176.29671,66.31
Puerto Rico,PRI,32290.92114,93.581
Qatar,QAT,50124.38594,99.235
Romania,ROU,12896.08862,54.194
Russian Federation,RUS,10126.72179,74.754
Rwanda,RWA,797.8555207,17.432
Samoa,WSM,4067.843459,17.889
Sao Tome and Principe,STP,2157.840446,74.354
Saudi Arabia,SAU,20110.31619,84.287
Senegal,SEN,1471.830962,48.122
Serbia,SRB,7720.510572,56.446
Seychelles,SYC,10764.42042,57.546
Sierra Leone,SLE,509.376594,42.923
Singapore,SGP,59797.75218,100
Slovak Republic,SVK,19266.51357,53.76
Slovenia,SVN,25517.33067,55.118
Solomon Islands,SLB,2250.601164,24.67
Somalia,SOM,313.872315,46.141
South Africa,ZAF,5655.867654,67.354
Spain,ESP,27063.19392,80.81
Sri Lanka,LKA,3680.673477,18.713
St. Kitts and Nevis,KNA,18437.74892,30.843
St. Lucia,LCA,8804.561048,18.841
St. Vincent and the Grenadines,VCT,7278.016297,53.032
Sudan,SDN,595.467833,35.253
Suriname,SUR,4916.605666,66.149
Sweden,SWE,52274.40879,87.977
Switzerland,CHE,87097.03645,73.915
Tajikistan,TJK,859.1379611,27.506
Tanzania,TZA,1076.470385,35.227
Thailand,THA,7186.874092,51.43
Timor-Leste,TLS,1442.730738,31.32
Togo,TGO,914.9507925,42.8
Tonga,TON,4624.823449,23.099
Trinidad and Tobago,TTO,15425.63511,53.214
Tunisia,TUN,3521.591948,69.568
Turkey,TUR,8536.43332,76.105
Turks and Caicos Islands,TCA,23879.92665,93.605
Tuvalu,TUV,4143.109753,64.014
Uganda,UGA,822.0276815,24.954
Ukraine,UKR,3726.927149,69.608
United Arab Emirates,ARE,36284.55524,87.048
United Kingdom,GBR,41124.53477,83.903
United States,USA,63413.51386,82.664
Uruguay,URY,15438.41167,95.515
Uzbekistan,UZB,1750.697113,50.416
Vanuatu,VUT,2870.0893,25.525
Vietnam,VNM,2785.724161,37.34
West Bank and Gaza,PSE,3239.731108,76.719
Zambia,ZMB,985.132436,44.629
Zimbabwe,ZWE,1214.50982,32.242
