long,lat,group,region,subregion,polyname
-79.53800201416016,35.84423828125,1857,north carolina,alamance,"north carolina,alamance"
-79.5437240600586,35.89007568359375,1857,north carolina,alamance,"north carolina,alamance"
-79.53800201416016,35.98175048828125,1857,north carolina,alamance,"north carolina,alamance"
-79.52081298828125,36.233848571777344,1857,north carolina,alamance,"north carolina,alamance"
-79.26297760009766,36.233848571777344,1857,north carolina,alamance,"north carolina,alamance"
-79.2744369506836,35.907264709472656,1857,north carolina,alamance,"north carolina,alamance"
-79.25152587890625,35.88434600830078,1857,north carolina,alamance,"north carolina,alamance"
-79.24579620361328,35.861427307128906,1857,north carolina,alamance,"north carolina,alamance"
-79.23433685302734,35.84423828125,1857,north carolina,alamance,"north carolina,alamance"
-79.53800201416016,35.84423828125,1857,north carolina,alamance,"north carolina,alamance"
-81.34281921386719,35.79267501831055,1858,north carolina,alexander,"north carolina,alexander"
-81.3542709350586,35.861427307128906,1858,north carolina,alexander,"north carolina,alexander"
-81.3600082397461,35.89007568359375,1858,north carolina,alexander,"north carolina,alexander"
-81.34854888916016,35.94737243652344,1858,north carolina,alexander,"north carolina,alexander"
-81.34281921386719,36.004669189453125,1858,north carolina,alexander,"north carolina,alexander"
-81.33708953857422,36.01612854003906,1858,north carolina,alexander,"north carolina,alexander"
-81.3027114868164,36.0333137512207,1858,north carolina,alexander,"north carolina,alexander"
-81.27406311035156,36.03904724121094,1858,north carolina,alexander,"north carolina,alexander"
-81.23395538330078,36.0333137512207,1858,north carolina,alexander,"north carolina,alexander"
-81.19957733154297,36.0333137512207,1858,north carolina,alexander,"north carolina,alexander"
-81.1823959350586,36.027584075927734,1858,north carolina,alexander,"north carolina,alexander"
-81.170928955078125,36.0333137512207,1858,north carolina,alexander,"north carolina,alexander"
-81.16519927978516,36.05623245239258,1858,north carolina,alexander,"north carolina,alexander"
-81.15373992919922,36.06196594238281,1858,north carolina,alexander,"north carolina,alexander"
-81.0907211303711,36.073421478271484,1858,north carolina,alexander,"north carolina,alexander"
-81.06779479980469,36.06196594238281,1858,north carolina,alexander,"north carolina,alexander"
-81.03914642333984,36.073421478271484,1858,north carolina,alexander,"north carolina,alexander"
-80.9990463256836,36.06196594238281,1858,north carolina,alexander,"north carolina,alexander"
-80.987579345703125,36.0333137512207,1858,north carolina,alexander,"north carolina,alexander"
-80.987579345703125,36.004669189453125,1858,north carolina,alexander,"north carolina,alexander"
-80.9990463256836,35.98175048828125,1858,north carolina,alexander,"north carolina,alexander"
-81.01050567626953,35.97029113769531,1858,north carolina,alexander,"north carolina,alexander"
-81.03914642333984,35.867156982421875,1858,north carolina,alexander,"north carolina,alexander"
-81.05061340332031,35.84996795654297,1858,north carolina,alexander,"north carolina,alexander"
-81.079254150390625,35.81559371948242,1858,north carolina,alexander,"north carolina,alexander"
-81.0907211303711,35.80413055419922,1858,north carolina,alexander,"north carolina,alexander"
-81.10218048095703,35.781211853027344,1858,north carolina,alexander,"north carolina,alexander"
-81.1193618774414,35.79267501831055,1858,north carolina,alexander,"north carolina,alexander"
-81.13082122802734,35.798404693603516,1858,north carolina,alexander,"north carolina,alexander"
-81.13655853271484,35.827049255371094,1858,north carolina,alexander,"north carolina,alexander"
-81.15373992919922,35.83278274536133,1858,north carolina,alexander,"north carolina,alexander"
-81.34281921386719,35.79267501831055,1858,north carolina,alexander,"north carolina,alexander"
-81.36573791503906,36.5776252746582,1859,north carolina,alleghany,"north carolina,alleghany"
-80.88445281982422,36.56044006347656,1859,north carolina,alleghany,"north carolina,alleghany"
-80.93029022216797,36.53752136230469,1859,north carolina,alleghany,"north carolina,alleghany"
-80.93601989746094,36.526058197021484,1859,north carolina,alleghany,"north carolina,alleghany"
-80.93029022216797,36.50886917114258,1859,north carolina,alleghany,"north carolina,alleghany"
-80.94747161865234,36.4859504699707,1859,north carolina,alleghany,"north carolina,alleghany"
-80.97039794921875,36.46876525878906,1859,north carolina,alleghany,"north carolina,alleghany"
-80.97039794921875,36.457305908203125,1859,north carolina,alleghany,"north carolina,alleghany"
-80.97039794921875,36.43438720703125,1859,north carolina,alleghany,"north carolina,alleghany"
-80.987579345703125,36.405738830566406,1859,north carolina,alleghany,"north carolina,alleghany"
-81.01050567626953,36.3885498046875,1859,north carolina,alleghany,"north carolina,alleghany"
-81.04488372802734,36.3885498046875,1859,north carolina,alleghany,"north carolina,alleghany"
-81.05061340332031,36.42292785644531,1859,north carolina,alleghany,"north carolina,alleghany"
-81.0849838256836,36.42292785644531,1859,north carolina,alleghany,"north carolina,alleghany"
-81.09645080566406,36.42865753173828,1859,north carolina,alleghany,"north carolina,alleghany"
-81.1193618774414,36.43438720703125,1859,north carolina,alleghany,"north carolina,alleghany"
-81.13655853271484,36.43438720703125,1859,north carolina,alleghany,"north carolina,alleghany"
-81.15373992919922,36.42292785644531,1859,north carolina,alleghany,"north carolina,alleghany"
-81.19384765625,36.42292785644531,1859,north carolina,alleghany,"north carolina,alleghany"
-81.20530700683594,36.405738830566406,1859,north carolina,alleghany,"north carolina,alleghany"
-81.22823333740234,36.39427947998047,1859,north carolina,alleghany,"north carolina,alleghany"
-81.27406311035156,36.37709045410156,1859,north carolina,alleghany,"north carolina,alleghany"
-81.29698181152344,36.37709045410156,1859,north carolina,alleghany,"north carolina,alleghany"
-81.27979278564453,36.44584655761719,1859,north carolina,alleghany,"north carolina,alleghany"
-81.29125213623047,36.46876525878906,1859,north carolina,alleghany,"north carolina,alleghany"
-81.3027114868164,36.4859504699707,1859,north carolina,alleghany,"north carolina,alleghany"
-81.3542709350586,36.526058197021484,1859,north carolina,alleghany,"north carolina,alleghany"
-81.37146759033203,36.55470657348633,1859,north carolina,alleghany,"north carolina,alleghany"
-81.36573791503906,36.5776252746582,1859,north carolina,alleghany,"north carolina,alleghany"
-79.9104232788086,34.807186126708984,1860,north carolina,anson,"north carolina,anson"
-80.32295989990234,34.81291580200195,1860,north carolina,anson,"north carolina,anson"
-80.30003356933594,35.19106674194336,1860,north carolina,anson,"north carolina,anson"
-80.265655517578125,35.208255767822266,1860,north carolina,anson,"north carolina,anson"
-80.25419616699219,35.17961120605469,1860,north carolina,anson,"north carolina,anson"
-80.23701477050781,35.168148040771484,1860,north carolina,anson,"north carolina,anson"
-80.219818115234375,35.162418365478516,1860,north carolina,anson,"north carolina,anson"
-80.20835876464844,35.168148040771484,1860,north carolina,anson,"north carolina,anson"
-80.19117736816406,35.15669250488281,1860,north carolina,anson,"north carolina,anson"
-80.16825103759766,35.15095901489258,1860,north carolina,anson,"north carolina,anson"
-80.173980712890625,35.168148040771484,1860,north carolina,anson,"north carolina,anson"
