state,county,inperson,total_votes,inperson_pct,pre_covid_cases,post_covid_cases,pre_week_diff,num_prec_pc,pop_2018,med_age,medIncome_2018,pctPovty_2018,unplmtRate_2018,noins_u65_2018,pctUrban_2010,pct_vet,avg_householdsize,pct_snap,pctno_hs,pctcollege,popDens,pct_black,pct_hisp,pct_asian,pct65plus,pct4064,pct1840,pctTrump_2016,inperson_1000,turnout,pre_election_rate,post_election_rate,state_pre_rate,state_post_rate,state_inperson_rate,FIPS,temp_oct,temp_nov
Arkansas,Yell,1882,2204,0.853901996370236,44,150,-2,455.073136754121,21535,37.8,41729,16.3,4.2,120,20.9,0.0672858137915022,2.66,0.117622475040632,19.9,13.5,23.9,0.0156025075458556,0.205340143951707,0.0130949616902717,0.158671929417228,0.322544694683074,0.248804272115161,0.719987478479,1.882,0.0873926166705363,204.318551195728,696.540515439981,438.047995487462,753.062968155085,0.089176378854114,05149,60.1,53.4
Alabama,Montgomery,75122,99326,0.75631758049252,1059,791,137,21.2612341260525,225763,34.9,49640,20.1,4,122,89.5,0.0900944796091476,2.45,0.228000159459256,14.4,32.1,292.5,0.585454658203514,0.0351563365121831,0.0319051394604076,0.121459229368851,0.29858745675775,0.280023741711441,0.358753119316,75.122,0.332747172920275,469.075977906034,350.367420702241,411.672075633747,619.738123203333,0.413973895792258,01101,68.5,60.2
North Carolina,Beaufort,5775,8842,0.653132775390183,222,174,4,59.4745003079929,47079,43.8,46411,18.1,4.6,131,34.4,0.075532615391151,2.37,0.209350241084135,12.4,19.4,57.7,0.24348435608233,0.0800569255931519,0.00548015038552221,0.186537522037426,0.333588224048939,0.221563754540241,0.613500572058,5.775,0.122666156885235,471.547823870516,369.591537628242,290.833062072765,478.19546555055,0.0862412145282666,37013,66.4,58.4
North Carolina,Caswell,3614,5016,0.720494417862839,85,118,1,39.6510705789056,22698,43.6,45517,17.1,4.4,132,0.8,0.0668340822979998,2.43,0.201779892501542,20.5,15.5,55.8,0.31919111816019,0.0415895673627632,0.00590360384174817,0.165433077804212,0.337078156665786,0.206626134461186,0.547598668569,3.614,0.15922107674685,374.48233324522,519.86959203454,290.833062072765,478.19546555055,0.0862412145282666,37033,61.2,53.4
Virginia,Richmond City,39370,114413,0.344104253887233,367,705,-15,30.5966789490478,228783,32,48747,22.3,3.5,133,100,0.062390999331244,2.2,0.170226808810095,15,38.5,3414.7,0.467901898305381,0.0707001831429783,0.0235856685155803,0.0988666115926446,0.280610884549988,0.367378695095352,0.150479287192,39.37,0.172084464317716,160.414016775722,308.152266558267,182.15043171941701,389.75378873485,0.211268319971917,51760,61.1,53.6
Louisiana,Pointe Coupee,7489,12371,0.605367391480074,44,120,-22,127.620783956244,21940,41.4,46603,20.3,5.4,93,42.2,0.0484958979033728,2.5,0.202278942570647,19.7,15.2,40.9,0.353281677301732,0.0288058340929809,0.003281677301732,0.161075660893345,0.325068368277119,0.249544211485871,0.577246832752,7.489,0.341340018231541,200.546946216955,546.94621695533306,162.082310259834,585.753838322842,0.250873072791331,22077,69.7,63
New Mexico,Chaves,3745,7496,0.499599786552828,408,1618,34,97.3890460511061,64689,34.7,43527,18.9,4.9,116,75.8,0.0575832058000587,2.7,0.249980676776577,22,17.8,10.8,0.0141909752817326,0.571998330473496,0.0116248512111796,0.143656572214751,0.286555674071326,0.272642953206882,0.638374919391,3.745,0.0578923773748242,630.710012521449,2501.19803985222,483.86296260239,1510.00177529364,0.067838169576812,35005,60.4,53
Indiana,Shelby,8667,20221,0.428613817318629,229,664,71,89.7001771578499,44593,39.9,57193,11.6,3.1,80,48,0.0751687484582782,2.53,0.0819411118336959,12,19.4,108.1,0.012221649137757,0.0437512614087413,0.00858879196286413,0.138766174063194,0.34368622878030203,0.251070795864822,0.709116253136,8.667,0.194357858856771,513.533514228691,1489.02294082031,485.020796852543,1230.98478483917,0.179473086628298,18145,53.8,47.3
Indiana,Montgomery,3424,17393,0.196860806071408,146,476,62,70.4115161946487,38346,39.4,53700,10.8,3,95,47.2,0.0707244562666249,2.47,0.0831899024670109,10.5,18.1,75.6,0.00962290721326866,0.0498617848015438,0.00839722526469514,0.154592395556251,0.323710426120065,0.246023053251969,0.731805840673,3.424,0.0892922338705471,380.74375423773,1241.32895217233,485.020796852543,1230.98478483917,0.179473086628298,18107,52.7,46.4
Florida,Calhoun,5015,6564,0.764015843997563,60,68,-14,75.4096112977309,14587,39.7,38323,21.3,4.1,149,32.5,0.0805511757043943,2.52,0.168848975114828,21.9,9.9,25.8,0.130047302392541,0.0574484129704531,0.00802084047439501,0.154795365736615,0.284431342976623,0.218345101802975,0.765946925993,5.015,0.343799273325564,411.325152533077,466.168506204154,243.862188120985,510.814309843152,0.295232266750237,12013,73.1,66.4
