natmass,age,sex,sei10,region,polviews
Too little,47,Male,87.9,New england,Moderate
Too little,61,Male,38.3,New england,Liberal
Too much,43,Female,21.8,New england,Moderate
Too little,55,Female,39.7,New england,Slightly liberal
About right,53,Female,44.6,New england,Slightly liberal
Too little,50,Male,80.7,New england,Slightly liberal
Too much,23,Female,20.1,Middle atlantic,Slghtly conservative
Too much,71,Male,32,Middle atlantic,Conservative
About right,86,Female,13.2,Middle atlantic,Slghtly conservative
Too little,32,Male,20.8,Middle atlantic,Slightly liberal
About right,60,Female,24.2,Middle atlantic,Liberal
Too much,76,Male,67.7,New england,Moderate
Too little,33,Female,61.4,New england,Moderate
About right,56,Male,23.3,New england,Conservative
Too little,62,Female,25.7,New england,Slightly liberal
Too little,31,Male,80.9,New england,Liberal
About right,43,Male,39.2,New england,Liberal
Too little,58,Female,24.2,New england,Liberal
About right,32,Female,33.3,Middle atlantic,Slghtly conservative
About right,23,Female,21.6,Middle atlantic,Slightly liberal
Too much,37,Female,66.2,Middle atlantic,Extrmly conservative
About right,25,Female,14.8,Middle atlantic,Liberal
Too little,71,Male,82.5,Middle atlantic,Liberal
About right,22,Male,39.9,Middle atlantic,Moderate
About right,74,Male,82.5,Middle atlantic,Moderate
Too little,75,Female,37.6,Middle atlantic,Conservative
About right,32,Male,20.7,Middle atlantic,Liberal
About right,68,Female,46.7,Middle atlantic,Moderate
About right,55,Male,65.3,Middle atlantic,Slghtly conservative
About right,46,Male,65.3,Middle atlantic,Slghtly conservative
About right,58,Female,80.9,Middle atlantic,Moderate
About right,35,Male,52.5,Middle atlantic,Conservative
About right,59,Male,26.1,Middle atlantic,Conservative
About right,58,Female,83.8,Middle atlantic,Conservative
About right,79,Female,38.3,Middle atlantic,Moderate
Too much,40,Female,39.7,Middle atlantic,Extrmly conservative
About right,44,Female,21.8,Middle atlantic,Moderate
Too little,68,Female,35.8,Middle atlantic,Moderate
Too little,36,Female,82.7,Middle atlantic,Liberal
About right,70,Male,24.2,Middle atlantic,Moderate
About right,28,Male,83.4,Middle atlantic,Extremely liberal
About right,35,Female,80.2,Middle atlantic,Liberal
Too little,33,Male,86.8,Middle atlantic,Extremely liberal
Too little,23,Male,0,Middle atlantic,Slightly liberal
Too little,47,Female,91.1,Middle atlantic,Extremely liberal
Too little,25,Female,43,Middle atlantic,Liberal
Too much,70,Female,24.6,Middle atlantic,Extremely liberal
About right,20,Male,36.8,Middle atlantic,Slghtly conservative
Too much,41,Male,91.1,Middle atlantic,Moderate
About right,53,Female,55.3,Middle atlantic,Conservative
About right,42,Female,20.1,Middle atlantic,Extremely liberal
About right,40,Female,41.1,Middle atlantic,Moderate
Too little,57,Female,39.7,Middle atlantic,Slightly liberal
About right,59,Female,84.5,Middle atlantic,Liberal
Too little,35,Female,21.6,Middle atlantic,Slghtly conservative
About right,26,Male,29.5,Middle atlantic,Moderate
About right,35,Male,39.9,Middle atlantic,Conservative
Too much,51,Female,0,Middle atlantic,Moderate
Too little,39,Female,34.7,Middle atlantic,Slightly liberal
Too much,27,Female,0,Middle atlantic,Moderate
Too much,30,Male,23.3,Middle atlantic,Extrmly conservative
Too little,29,Male,32.6,Middle atlantic,Slightly liberal
Too little,39,Female,24.2,Middle atlantic,Extrmly conservative
Too little,60,Female,24.2,Middle atlantic,Slghtly conservative
Too much,74,Female,0,Middle atlantic,Moderate
About right,57,Female,73.2,Middle atlantic,Moderate
Too little,80,Male,58.1,Middle atlantic,Moderate
About right,70,Male,70.5,Middle atlantic,Slghtly conservative
Too little,35,Female,84.2,Middle atlantic,Slightly liberal
About right,49,Female,0,Middle atlantic,Liberal
